Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FNC,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,6810CMP,146.810000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
2,6870CMP,146.870000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
3,9800CMP,439.800000,-,5.000000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
4,CRAMVHF,146.770000,-,0.600000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
5,CRAMUHF,439.550000,-,5.000000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
6,CHPALHA,146.910000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
7,CHCOURO,439.900000,-,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
8,COLINA1,146.730000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
9,COLINA2,146.630000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
10,PY2KBC,146.930000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
11,PY2KLM,146.830000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
12,PY2KBF,147.060000,+,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
13,PY2KJM,146.950000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,PY2KCA,145.230000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,PY2KAC,146.710000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
16,PY2KJZ,145.210000,-,0.600000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
17,PY2KKK,147.000000,+,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
18,PY2KACU,439.775000,-,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
19,PY2KLMU,439.825000,-,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
20,PY2KJM,439.950000,-,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
21,PY2KPR,147.240000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
22,PY2KPRU,439.450000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,PY2KYC,147.390000,+,0.600000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
24,PY2KSM,147.360000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
25,PY2KDF,145.250000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
26,PY2KKKU,439.500000,-,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
