"Repetidoras na região de Campinas, SP",,,,,,,,,,,,
"Ativadas ou recepcionadas na estação de PU2URT Rafael Beraldo, localizada em GG67ke.",,,,,,,,,,,,
Num,Indicativo,Repetidora,Cidade,Grid,QRG,Subtom,SFT,Responsável,Status,URL,Comentário,Última atualização
1,PY4RTR,Jacutinga,"Jacutinga, MG",,145.290,67.0,-,Eder Carlos Pereira Batista,Ativa,,,2023-03-15
2,PY2KSS,Mirante da Lajinha,"Águas da Prata, SP",GG68pd,145.370,82.5,-,Clube de Radioamadores de Americana (CRAM),Ativa,cram.org.br,,2023-03-15
3,PY2ASP,Rainha da Serra,"Espírito Santo do Pinhal, SP",,145.490,88.5,-,Associação Pinhalense de Radioamadores e Rádio do Cidadão,Ativa,fb.com/radioamadoresamigodamantiqueira,,2023-03-15
4,PY2KDV,Noiva da Colina I,"São Pedro, SP",GG67bl,146.730,77.0,-,Clube de Radioamadores de Piracicaba (CRAPI),Ativa,fb.com/groups/pu2mmm/,,2023-03-15
5,PY2KJZ,CRAM VHF,"Americana, SP",GG67ig,146.770,74.4,-,Clube de Radioamadores de Americana (CRAM),Ativa,cram.org.br,Transmite indicativo. Sem roger.,2023-03-15
6,PY2KAB,Repetidora do Barão,"Campinas, SP",GG67oc,146.810,82.5,-,Associação de Radioamadores Povão,Em manutenção,qrz.com/db/PY2KAB,Não ouço tráfego nem ativo.,2023-03-15
7,PY2KAA,6870,"Campinas, SP",,146.870,82.5,-,Associação de Radioamadores Povão,Ativa,qrz.com/db/PY2KAA,Tráfego diário.,2023-03-15
8,PY2KAW,Repetidora Araruna,"Araras, SP",,146.890,77.0,-,Grupo de Radioamadores de Araras (GRAAR),Ativa,,,2023-03-15
9,PY2KAM,Chapéu de Palha,"Serra Negra, SP",GG67qk,146.910,82.5,-,Casa do Radioamador de Amparo,Ativa,fb.com/py2sra/?locale=pt_BR,Tráfego diário.,2023-03-15
10,???,Morro do Pombo?,"Jaguariúna, SP",,146.930,79.7,-,???,Ativa,,Não encontrei na Anatel.,2023-03-15
11,PY2APU,Mairiporã,"Mairiporã, SP",,147.030,127.3,+,Associação em Proteção Civil Voluntária,Ativa,ranchodaamizade.com.br/esforcos-arra/,Não encontrei URL melhor.,2023-03-15
12,PY2KBF,Repetidora Vitória,"Indaiatuba, SP",,147.060,88.5,+,LABRE SP,Ativa,labre-sp.org.br/,,2023-03-15
13,PY4POC,CRAPOCA,"Poços de Caldas, MG",GG68rf,147.180,91.5,+,Clube de Radioamadores de Poços de Caldas (CRAPOCA),Ativa,fb.com/crapoca/,,2023-03-15
14,PY4RSD,Princesinha do Sul de Minas,"Córrego do Bom Jesus, MG",,147.210,67.0,+,Associação Itajubense de Rádio Cidadão e Radioamadores ,Ativa,aircra.com.br/,Tráfego diário.,2023-03-15
15,PY2KDO,Jundiaí,"Jundiaí, SP",,147.330,74.4,+,LABRE SP,Ativa,labre-sp.org.br/,Acabou de voltar ao ar.,2023-03-16
16,PY2KJF,CRAM UHF,"Americana, SP",GG67hg,439.550,74.4,-,Clube de Radioamadores de Americana (CRAM),Ativa,cram.org.br,,2023-03-15
17,PY2KDQ,Chapéu de Couro,"Serra Negra, SP",GG67pj,439.900,82.5,-,Casa do Radioamador de Amparo,Ativa,fb.com/py2sra/?locale=pt_BR,Não ouço muito tráfego.,2023-03-15
"Estação PU2URT, localizada em GG67ke, equipada com antena flowerpot para 2m e 70cm feita em casa e Retevis RT3S rodando OpenGD77. Tabela baseada no trabalho de PY2QB Ricardo Benedito.",,,,,,,,,,,,
